id,city,name,address
B0004S344060062,佛山,建设银行佛山小塘支行,佛山市南海区狮山镇小塘三环东路9号上林苑1栋首层18号、19号、20号、21号商铺
B0004S344060063,佛山,建设银行佛山丹灶支行,佛山市南海区丹灶镇工业大道2号
B0004S344060064,佛山,建设银行佛山西樵支行,佛山市南海区西樵镇江浦东路马头岗银轩酒店首层
B0004S344060065,佛山,建设银行佛山樵建支行,佛山市南海区西樵镇官山城区江浦西路103号综合楼首层1-3号铺
B0004S344060066,佛山,建设银行佛山九江支行,佛山市南海区九江镇洛浦大道永辉大厦
B0004S344060067,佛山,建设银行佛山金信支行,佛山市南海区九江镇下北村委会大正路126号嘉裕豪庭裕丰阁商铺4、5、6
B0004S344060069,佛山,建设银行顺德大良支行,佛山市顺德区大良街道升平居委清晖路146号
B0004S344060070,佛山,建设银行顺德锦湖支行,佛山市顺德区大良街道新松居委会新宁路68号英煌新座楼5座首层1、2、3号商铺
B0004S344060071,佛山,建设银行顺德伦教支行,佛山市顺德区伦教街道伦常中路进雅名居4-9号商铺
B0004S344060072,佛山,建设银行顺德均安支行,佛山市顺德区均安镇均安社区居委会百安北路20号尚墅君庭4、5、6、7号商铺
B0004S344060073,佛山,建设银行顺德勒流支行,佛山市顺德区勒流街道办事处勒流居委会政和中路7号金碧豪苑A1-A3号、1号、2号铺
B0004S344060074,佛山,建设银行顺德容奇支行,佛山市顺德区容桂街道容山居委会凤祥南路3号一至三层
B0004S344060075,佛山,建设银行顺德桂洲支行,佛山市顺德区容桂细滘社区居委会芳苑路中怡一品豪苑01、02、03号商铺
B0004S344060076,佛山,建设银行顺德天佑支行,佛山市顺德区容桂街道办事处振华居委会富华路43号（12-15号铺）
B0004S344060077,佛山,建设银行顺德乐从支行,佛山市顺德区乐从镇乐从社区居委会东区新华路B6号
B0004S344060078,佛山,建设银行顺德龙江支行,佛山市顺德区龙江镇东华路23号保利家园八栋1层46、47、48、49、109、110号商铺
B0004S344060079,佛山,建设银行顺德华滨支行,佛山市顺德区乐从镇河滨大道乐华路东怡盛豪庭12-15号商铺
B0004S344060080,佛山,建设银行顺德汇盈支行,佛山市顺德区龙江镇世埠社区居民委员会325国道龙江段第102号之二合创盈科家具材料交易中心C区C10座3918号、3919号、3920号、3921号、3922号商铺
B0004S344060081,佛山,建设银行顺德陈村支行,佛山市顺德区陈村镇合成居委会佛陈路3号万科缤纷四季花园14号楼102-106号商铺
B0004S344060082,佛山,建设银行佛山碧桂花城支行,佛山市顺德区陈村镇花城社区居委会碧桂花城大酒店首层商业长廊3、5、6号商铺
B0004S344060083,佛山,建设银行佛山三水支行,佛山市三水区西南街健力宝南路37号
B0004S344060084,佛山,建设银行佛山建锋支行,佛山市三水区西南街文锋中路20号
B0004S344060085,佛山,建设银行佛山赤岗支行,佛山市三水区西南街道同福北路西南公园东门游泳馆首层（部份）
B0004S344060086,佛山,建设银行佛山建宏支行,佛山市三水区云东海街道鲁村路6号万景豪园1座101-104号
B0004S344060087,佛山,建设银行佛山金沙湾支行,佛山市南海区大沥镇黄岐海北建设大道以北金沙湾酒店2号楼首层A2商铺
B0004S344060088,佛山,建设银行顺德湖景支行,佛山市顺德区大良街道办事处近良社区居民委员会新桂南路2号骏景君临名邸10、11、12、13号商铺
B0004S344060089,佛山,建设银行佛山北江新区支行,佛山市三水区西南街道西青大道20号时代廊桥花园南区八座106-112
B0004S344060090,佛山,建设银行佛山建升支行,佛山市三水区西南街沙头开发区沙头大道7号
B0004S344060091,佛山,建设银行佛山建信支行,佛山市三水区西南街道张边路3号成业大厦102、103
B0004S344060092,佛山,建设银行佛山金域蓝湾支行,佛山市南海区桂城街道半岛路11号金域蓝湾商业2号楼15号商铺
B0004S344060093,佛山,建设银行佛山乐平支行,佛山市三水区乐平镇乐平大道37号锦溢华庭一座113号之一商铺
